subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFS,39,60,0.2,0.15151515151515152,2,0.0625,0.7878787878787878,0.16666666666666666,0.030303030303030304,0.0,0.0,0.1111111111111111,0.06666666666666667,0.06896551724137931
YFS,45,225,0.5,0.16287878787878787,1,0.3125,0.18181818181818182,0.2916666666666667,0.12121212121212122,0.0625,0.08333333333333333,0.07407407407407407,0.03333333333333333,0.3103448275862069
YFS,46,300,0.2,0.17045454545454544,2,0.0,0.36363636363636365,0.2916666666666667,0.030303030303030304,0.25,0.041666666666666664,0.3333333333333333,0.16666666666666666,0.06896551724137931
YFS,47,90,0.5,0.1590909090909091,9,0.0,0.09090909090909091,0.25,0.21212121212121213,0.03125,0.25,0.1111111111111111,0.26666666666666666,0.27586206896551724
YFS,49,150,0.5,0.14772727272727273,9,0.0625,0.21212121212121213,0.0,0.09090909090909091,0.03125,0.20833333333333334,0.25925925925925924,0.13333333333333333,0.3448275862068966
YFS,50,900,0.2,0.15151515151515152,8,0.09375,0.09090909090909091,0.0,0.0,0.40625,0.08333333333333333,0.07407407407407407,0.5666666666666667,0.0
YFS,53,60,0.8,0.20833333333333334,2,0.25,0.30303030303030304,0.2916666666666667,0.18181818181818182,0.21875,0.041666666666666664,0.2222222222222222,0.16666666666666666,0.1724137931034483
YFS,54,75,0.2,0.14393939393939395,4,0.15625,0.09090909090909091,0.0,0.36363636363636365,0.1875,0.16666666666666666,0.037037037037037035,0.23333333333333334,0.0
YFS,55,150,0.8,0.16666666666666666,3,0.03125,0.30303030303030304,0.3333333333333333,0.06060606060606061,0.09375,0.25,0.18518518518518517,0.23333333333333334,0.06896551724137931
YFS,56,100,0.8,0.16287878787878787,5,0.0625,0.09090909090909091,0.125,0.09090909090909091,0.78125,0.041666666666666664,0.037037037037037035,0.03333333333333333,0.13793103448275862
YFS,58,90,0.5,0.15151515151515152,1,0.375,0.12121212121212122,0.0,0.18181818181818182,0.21875,0.0,0.1111111111111111,0.23333333333333334,0.034482758620689655
