subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFK,40,para-hpc,75.0,12.0,0.8,4.0,0.12280701754385964,0.11219298245614034,78.0,0.39303482587064675,False,3.3262526988983154
YFK,41,para-hpc,60.0,15.0,0.2,4.0,0.13157894736842105,0.11289473684210524,69.0,0.3482587064676617,False,3.800074338912964
YFK,42,para-hpc,75.0,12.0,0.2,4.0,0.17543859649122806,0.11271929824561402,7.0,0.03980099502487562,True,3.8572351932525635
YFK,43,para-hpc,300.0,3.0,0.8,4.0,0.18421052631578946,0.09714912280701754,0.0,0.004975124378109453,True,3.753546953201294
YFK,44,para-hpc,90.0,10.0,0.2,4.0,0.12280701754385964,0.11092105263157893,79.0,0.39800995024875624,False,3.7308597564697266
YFK,45,para-hpc,60.0,15.0,0.8,4.0,0.14912280701754385,0.11780701754385964,46.0,0.23383084577114427,False,3.7036876678466797
YFK,46,para-hpc,180.0,5.0,0.8,4.0,0.14035087719298245,0.10899122807017544,33.0,0.1691542288557214,False,3.707274913787842
YFK,47,hpc,150.0,6.0,0.2,4.0,0.18421052631578946,0.11289473684210524,6.0,0.03482587064676617,True,3.629314422607422
YFK,48,hpc,60.0,15.0,0.5,4.0,0.16666666666666666,0.11346491228070174,24.0,0.12437810945273632,False,3.9872114658355713
YFK,49,hpc,225.0,4.0,0.5,4.0,0.14035087719298245,0.10640350877192983,38.0,0.19402985074626866,False,3.5385520458221436
YFK,50,hpc,60.0,15.0,0.2,4.0,0.08771929824561403,0.09706140350877192,131.0,0.6567164179104478,False,3.8842694759368896
YFK,51,hpc,60.0,15.0,0.5,4.0,0.19298245614035087,0.11166666666666668,2.0,0.014925373134328358,True,3.780441999435425
YFK,52,hpc,75.0,12.0,0.8,4.0,0.15789473684210525,0.1169298245614035,26.0,0.13432835820895522,False,3.713970899581909
YFK,53,hpc,60.0,15.0,0.8,4.0,0.12280701754385964,0.11342105263157894,87.0,0.43781094527363185,False,3.812566041946411
YFK,54,hpc,75.0,12.0,0.5,4.0,0.14035087719298245,0.09850877192982456,28.0,0.14427860696517414,False,3.7321341037750244
YFK,55,hpc,60.0,15.0,0.2,4.0,0.17543859649122806,0.1157017543859649,13.0,0.06965174129353234,False,3.729337692260742
YFK,56,hpc,60.0,15.0,0.2,4.0,0.15789473684210525,0.15139371270816632,118.0,0.601010101010101,False,3.5933730602264404
YFK,57,hpc,90.0,10.0,0.5,4.0,0.16666666666666666,0.10986842105263157,13.0,0.06965174129353234,False,4.160874128341675
YFK,58,hpc,150.0,6.0,0.2,4.0,0.15789473684210525,0.11482456140350877,28.0,0.14427860696517414,False,3.5711262226104736
YFK,59,hpc,75.0,12.0,0.5,4.0,0.24561403508771928,0.11083333333333333,0.0,0.004975124378109453,True,3.472235679626465
YFK,60,hpc,75.0,12.0,0.5,4.0,0.17543859649122806,0.09017543859649121,11.0,0.05970149253731343,False,3.512218952178955
YFK,61,hpc,75.0,12.0,0.5,4.0,0.19298245614035087,0.11390350877192983,3.0,0.01990049751243781,True,3.632108688354492
YFK,62,hpc,75.0,12.0,0.2,4.0,0.14912280701754385,0.11092105263157893,28.0,0.14427860696517414,False,4.323616027832031
YFK,63,para-hpc,450.0,2.0,0.8,4.0,0.07017543859649122,0.08807017543859649,133.0,0.6666666666666666,False,3.774326801300049
YFK,64,para-hpc,75.0,12.0,0.5,4.0,0.14035087719298245,0.10245614035087719,33.0,0.1691542288557214,False,3.889130115509033
YFK,65,para-hpc,450.0,2.0,0.8,4.0,0.14912280701754385,0.09513157894736843,13.0,0.06965174129353234,False,4.181518077850342
