trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
218,2,7,1703415.33333333,15,16.666666666666668
219,1,2,1708515.26666667,25,27.77777777777778
220,1,8,1713648.5,22,24.444444444444443
220,2,5,1714398.5,25,27.77777777777778
221,1,5,1720848.4,15,16.666666666666668
222,1,1,1726631.63333333,26,28.88888888888889
222,2,3,1727381.6,22,24.444444444444443
223,1,9,1733931.5,11,12.222222222222221
223,2,6,1734681.46666667,19,21.11111111111111
224,1,1,1743114.66666667,15,16.666666666666668
224,2,5,1743864.66666667,24,26.666666666666664
225,2,5,1750914.53333333,12,13.333333333333332
226,1,6,1756331.1,15,16.666666666666668
226,2,8,1757081.1,14,15.555555555555555
228,1,4,1771614.16666667,21,23.333333333333332
228,2,7,1772364.16666667,30,33.333333333333336
229,1,2,1777197.43333333,17,18.88888888888889
229,2,9,1777947.4,27,30.0
230,1,7,1793547.13333333,11,12.222222222222221
230,2,2,1794297.13333333,17,18.88888888888889
231,2,8,1809246.86666667,12,13.333333333333332
232,1,9,1813946.8,31,34.44444444444444
233,1,8,1820346.7,17,18.88888888888889
233,2,5,1821096.66666667,22,24.444444444444443
234,1,1,1829829.86666667,22,24.444444444444443
234,2,9,1830579.83333333,7,7.777777777777778
235,2,9,1836779.73333333,25,27.77777777777778
236,1,2,1842262.96666667,18,20.0
236,2,2,1843012.96666667,12,13.333333333333332
237,1,7,1845829.6,14,15.555555555555555
237,2,5,1846579.56666667,20,22.22222222222222
238,1,5,1852429.46666667,13,14.444444444444445
238,2,5,1853179.46666667,25,27.77777777777778
239,1,1,1857429.4,11,12.222222222222221
239,2,1,1858179.36666667,15,16.666666666666668
240,2,2,1862779.3,17,18.88888888888889
241,2,2,1868412.53333333,20,22.22222222222222
242,1,7,1875179.1,13,14.444444444444445
242,2,2,1875929.06666667,14,15.555555555555555
244,1,2,1886028.9,14,15.555555555555555
244,2,1,1886778.9,17,18.88888888888889
245,1,6,1892745.46666667,20,22.22222222222222
245,2,3,1893495.43333333,21,23.333333333333332
246,1,2,1898778.66666667,19,21.11111111111111
246,2,5,1899528.66666667,18,20.0
247,1,1,1904695.26666667,16,17.77777777777778
247,2,7,1905445.23333333,15,16.666666666666668
248,1,6,1910495.16666667,23,25.555555555555554
248,2,3,1911245.13333333,42,46.666666666666664
249,1,9,1916461.73333333,19,21.11111111111111
249,2,1,1917211.7,22,24.444444444444443
250,1,3,1921144.96666667,20,22.22222222222222
250,2,8,1921894.96666667,15,16.666666666666668
251,1,1,1927411.53333333,12,13.333333333333332
251,2,3,1928161.53333333,32,35.55555555555556
252,1,2,1935661.4,12,13.333333333333332
253,1,1,1947077.86666667,18,20.0
253,2,3,1947827.83333333,17,18.88888888888889
254,1,7,1958161.0,22,24.444444444444443
254,2,2,1958911.0,21,23.333333333333332
255,1,8,1964027.56666667,7,7.777777777777778
255,2,9,1964777.56666667,11,12.222222222222221
256,2,8,1977694.0,28,31.11111111111111
257,1,2,1982727.23333333,27,30.0
257,2,4,1983477.23333333,28,31.11111111111111
258,1,2,1986843.83333333,19,21.11111111111111
259,1,6,1991827.1,28,31.11111111111111
259,2,6,1992577.1,22,24.444444444444443
260,1,2,1996177.03333333,15,16.666666666666668
260,2,4,1996927.0,25,27.77777777777778
261,1,5,2001926.93333333,20,22.22222222222222
261,2,6,2002676.9,16,17.77777777777778
262,2,2,2012310.06666667,20,22.22222222222222
263,1,1,2016726.66666667,18,20.0
264,1,5,2023326.56666667,17,18.88888888888889
264,2,9,2024076.53333333,22,24.444444444444443
265,1,6,2028976.46666667,22,24.444444444444443
265,2,1,2029726.43333333,17,18.88888888888889
266,2,4,2037292.96666667,13,14.444444444444445
267,1,9,2045426.2,17,18.88888888888889
268,1,7,2049776.1,15,16.666666666666668
268,2,4,2050526.1,13,14.444444444444445
269,1,3,2056442.66666667,22,24.444444444444443
269,2,9,2057192.63333333,17,18.88888888888889
270,1,5,2062375.9,23,25.555555555555554
270,2,1,2063125.86666667,15,16.666666666666668
271,2,5,2068642.43333333,15,16.666666666666668
272,1,4,2073575.7,30,33.333333333333336
