subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFL,22,hpc,225.0,0.2,0.08771929824561403,0.14912280701754385,0.06140350877192982
YFL,23,hpc,75.0,0.8,0.13157894736842105,0.15789473684210525,0.02631578947368421
YFL,24,hpc,75.0,0.5,0.09649122807017543,0.19298245614035087,0.09649122807017543
YFL,25,hpc,90.0,0.2,0.09649122807017543,0.13157894736842105,0.03508771929824561
YFL,26,hpc,100.0,0.2,0.14912280701754385,0.18421052631578946,0.03508771929824561
YFL,28,hpc,60.0,0.2,0.08771929824561403,0.11403508771929824,0.02631578947368421
YFL,29,hpc,300.0,0.2,0.12280701754385964,0.21052631578947367,0.08771929824561403
YFL,30,hpc,100.0,0.8,0.14035087719298245,0.18421052631578946,0.043859649122807015
YFL,31,hpc,180.0,0.8,0.06140350877192982,0.13157894736842105,0.07017543859649122
YFL,32,hpc,900.0,0.2,0.16666666666666666,0.16666666666666666,0.0
YFL,33,hpc,90.0,0.2,0.11403508771929824,0.14035087719298245,0.02631578947368421
YFL,34,hpc,100.0,0.2,0.07017543859649122,0.16666666666666666,0.09649122807017543
YFL,35,hpc,450.0,0.2,0.09649122807017543,0.17543859649122806,0.07894736842105263
YFL,36,hpc,60.0,0.5,0.10526315789473684,0.12280701754385964,0.017543859649122806
YFL,37,hpc,150.0,0.2,0.06140350877192982,0.12280701754385964,0.06140350877192982
YFL,38,hpc,450.0,0.2,0.13157894736842105,0.18421052631578946,0.05263157894736842
YFL,39,hpc,225.0,0.2,0.11403508771929824,0.15789473684210525,0.043859649122807015
YFL,58,hpc,100.0,0.2,0.08771929824561403,0.14912280701754385,0.06140350877192982
YFL,59,hpc,900.0,0.2,0.10526315789473684,0.10526315789473684,0.0
YFL,60,hpc,150.0,0.8,0.07894736842105263,0.12280701754385964,0.043859649122807015
YFL,61,hpc,180.0,0.2,0.06140350877192982,0.12280701754385964,0.06140350877192982
YFL,62,hpc,180.0,0.2,0.07894736842105263,0.12280701754385964,0.043859649122807015
YFL,63,hpc,75.0,0.2,0.09649122807017543,0.10526315789473684,0.008771929824561403
YFL,64,hpc,180.0,0.2,0.10526315789473684,0.14035087719298245,0.03508771929824561
YFL,65,hpc,225.0,0.2,0.11403508771929824,0.17543859649122806,0.06140350877192982
YFL,66,hpc,100.0,0.5,0.08771929824561403,0.14035087719298245,0.05263157894736842
YFL,67,hpc,75.0,0.2,0.02631578947368421,0.13157894736842105,0.10526315789473684
YFL,68,hpc,60.0,0.5,0.08771929824561403,0.14035087719298245,0.05263157894736842
YFL,69,hpc,60.0,0.2,0.06140350877192982,0.13157894736842105,0.07017543859649122
YFL,70,hpc,150.0,0.8,0.10526315789473684,0.16666666666666666,0.06140350877192982
YFL,71,hpc,60.0,0.5,0.13157894736842105,0.19298245614035087,0.06140350877192982
YFL,72,hpc,60.0,0.8,0.05263157894736842,0.18421052631578946,0.13157894736842105
YFL,73,hpc,150.0,0.2,0.08771929824561403,0.17543859649122806,0.08771929824561403
YFL,74,hpc,180.0,0.8,0.07017543859649122,0.11403508771929824,0.043859649122807015
YFL,75,hpc,60.0,0.2,0.09649122807017543,0.13157894736842105,0.03508771929824561
YFL,76,hpc,60.0,0.2,0.08771929824561403,0.13157894736842105,0.043859649122807015
YFL,77,hpc,100.0,0.2,0.10526315789473684,0.18421052631578946,0.07894736842105263
YFL,78,hpc,75.0,0.2,0.09649122807017543,0.17543859649122806,0.07894736842105263
YFL,79,ent,60.0,0.8,0.06140350877192982,0.10526315789473684,0.043859649122807015
YFL,80,ent,100.0,0.5,0.05263157894736842,0.16666666666666666,0.11403508771929824
YFL,81,ent,60.0,0.5,0.07894736842105263,0.10526315789473684,0.02631578947368421
YFL,82,ent,180.0,0.2,0.12280701754385964,0.13157894736842105,0.008771929824561403
YFL,83,ent,225.0,0.5,0.14912280701754385,0.15789473684210525,0.008771929824561403
YFL,84,ent,75.0,0.5,0.11403508771929824,0.14912280701754385,0.03508771929824561
YFL,85,ent,300.0,0.8,0.08771929824561403,0.15789473684210525,0.07017543859649122
YFL,86,ent,100.0,0.2,0.05263157894736842,0.15789473684210525,0.10526315789473684
YFL,87,ent,90.0,0.2,0.13157894736842105,0.15789473684210525,0.02631578947368421
YFL,88,ent,75.0,0.2,0.06140350877192982,0.14035087719298245,0.07894736842105263
YFL,89,ent,180.0,0.2,0.08771929824561403,0.12280701754385964,0.03508771929824561
YFL,90,ent,60.0,0.2,0.07894736842105263,0.17543859649122806,0.09649122807017543
YFL,91,ent,450.0,0.8,0.08771929824561403,0.14035087719298245,0.05263157894736842
YFL,92,ent,100.0,0.5,0.13157894736842105,0.21052631578947367,0.07894736842105263
