subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason,raw_significant,fdr_q,fdr_significant
YFK,59,hpc,HPC,100,114,100.0,0.2,0.175438596491228,0.0398009950248756,7.0,True,True,,True,0.15141077827644983,False
YFK,60,hpc,HPC,100,114,100.0,0.8,0.1666666666666666,0.0597014925373134,11.0,False,True,,False,0.18558635394456277,False
YFK,61,hpc,HPC,100,114,60.0,0.2,0.1491228070175438,0.2686567164179104,53.0,False,True,,False,0.3709371922115311,False
YFK,62,hpc,HPC,100,114,90.0,0.2,0.1403508771929824,0.2288557213930348,45.0,False,True,,False,0.3477584146307568,False
YFK,63,para-hpc,PARA-HPC,100,114,100.0,0.8,0.0701754385964912,0.7114427860696517,142.0,False,True,,False,0.7302356143809255,False
YFK,64,para-hpc,PARA-HPC,100,114,60.0,0.2,0.1491228070175438,0.0845771144278607,16.0,False,True,,False,0.21399976859886616,False
YFK,65,para-hpc,PARA-HPC,100,114,180.0,0.2,0.1403508771929824,0.1343283582089552,26.0,False,True,,False,0.26476314081765084,False
YFK,66,para-hpc,PARA-HPC,100,114,75.0,0.2,0.131578947368421,0.2487562189054726,49.0,False,True,,False,0.356114166012045,False
YFK,67,para-hpc,PARA-HPC,100,114,180.0,0.2,0.131578947368421,0.2388059701492537,47.0,False,True,,False,0.3517690064267521,False
YFL,19,hpc,HPC,100,114,225.0,0.2,0.131578947368421,0.2537313432835821,50.0,False,True,,False,0.3603912552121897,False
YFL,20,hpc,HPC,100,114,100.0,0.2,0.1578947368421052,0.3880597014925373,77.0,False,True,,False,0.4639658848614073,False
YFL,21,hpc,HPC,100,114,180.0,0.2,0.1403508771929824,0.3233830845771144,64.0,False,True,,False,0.4129586807745311,False
YFL,22,hpc,HPC,100,114,225.0,0.2,0.1491228070175438,0.1343283582089552,26.0,False,True,,False,0.26476314081765084,False
YFL,23,hpc,HPC,100,114,75.0,0.8,0.1578947368421052,0.1393034825870646,27.0,False,True,,False,0.2687272855580253,False
YFL,24,hpc,HPC,100,114,75.0,0.5,0.1929824561403508,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFL,25,hpc,HPC,100,114,90.0,0.2,0.131578947368421,0.2985074626865671,59.0,False,True,,False,0.39703682078604524,False
YFL,26,hpc,HPC,100,114,100.0,0.2,0.1842105263157894,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFL,27,hpc,HPC,100,114,,,,,,False,False,all parameter combinations returned NaN,False,,False
YFL,28,hpc,HPC,100,114,60.0,0.2,0.1140350877192982,0.2786069651741293,55.0,False,True,,False,0.3808095202380059,False
YFL,29,hpc,HPC,100,114,300.0,0.2,0.2105263157894736,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFL,30,hpc,HPC,100,114,100.0,0.8,0.1842105263157894,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFL,31,hpc,HPC,100,114,180.0,0.8,0.131578947368421,0.3034825870646766,60.0,False,True,,False,0.3987790516018939,False
YFL,32,hpc,HPC,100,114,900.0,0.2,0.1666666666666666,0.0248756218905472,4.0,True,True,,True,0.13266998341625172,False
YFL,33,hpc,HPC,100,114,90.0,0.2,0.1403508771929824,0.2587064676616915,51.0,False,True,,False,0.36365973748826913,False
YFL,34,hpc,HPC,100,114,100.0,0.2,0.1666666666666666,0.1144278606965174,22.0,False,True,,False,0.24800301282432458,False
YFL,35,hpc,HPC,100,114,450.0,0.2,0.175438596491228,0.0497512437810945,9.0,True,True,,True,0.1691542288557213,False
YFL,36,hpc,HPC,100,114,60.0,0.5,0.1228070175438596,0.4776119402985074,95.0,False,True,,False,0.532419867873746,False
YFL,37,hpc,HPC,100,114,150.0,0.2,0.1228070175438596,0.3532338308457711,70.0,False,True,,False,0.4298863623715872,False
YFL,38,hpc,HPC,100,114,450.0,0.2,0.1842105263157894,0.0149253731343283,2.0,True,True,,True,0.12686567164179055,False
YFL,39,hpc,HPC,100,114,225.0,0.2,0.1578947368421052,0.0796019900497512,15.0,False,True,,False,0.21021108051973134,False
YFL,58,hpc,HPC,100,114,100.0,0.2,0.1491228070175438,0.1492537313432835,29.0,False,True,,False,0.27617016956036133,False
YFL,59,hpc,HPC,100,114,900.0,0.2,0.1052631578947368,0.4129353233830846,82.0,False,True,,False,0.4810210191014947,False
YFL,60,hpc,HPC,100,114,150.0,0.8,0.1228070175438596,0.3830845771144278,76.0,False,True,,False,0.459026453634909,False
YFL,61,hpc,HPC,100,114,180.0,0.2,0.1228070175438596,0.2985074626865671,59.0,False,True,,False,0.39703682078604524,False
YFL,62,hpc,HPC,100,114,180.0,0.2,0.1228070175438596,0.373134328358209,74.0,False,True,,False,0.4500777707912764,False
YFL,63,hpc,HPC,100,114,75.0,0.2,0.1052631578947368,0.572139303482587,114.0,False,True,,False,0.6114809058831578,False
YFL,64,hpc,HPC,100,114,180.0,0.2,0.1403508771929824,0.2139303482587064,42.0,False,True,,False,0.33635291749345747,False
YFL,65,hpc,HPC,100,114,225.0,0.2,0.175438596491228,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFL,66,hpc,HPC,100,114,100.0,0.5,0.1403508771929824,0.2039800995024875,40.0,False,True,,False,0.3273308971367351,False
YFL,67,hpc,HPC,100,114,75.0,0.2,0.131578947368421,0.3034825870646766,60.0,False,True,,False,0.3987790516018939,False
YFL,68,hpc,HPC,100,114,60.0,0.5,0.1403508771929824,0.1890547263681592,37.0,False,True,,False,0.31644852659778033,False
YFL,69,hpc,HPC,100,114,60.0,0.2,0.131578947368421,0.3184079601990049,63.0,False,True,,False,0.4094891970408006,False
YFL,70,hpc,HPC,100,114,150.0,0.8,0.1666666666666666,0.0696517412935323,13.0,False,True,,False,0.19942393296674513,False
YFL,71,hpc,HPC,100,114,60.0,0.5,0.1929824561403508,0.0348258706467661,6.0,True,True,,True,0.14244566640481773,False
YFL,72,hpc,HPC,100,114,60.0,0.8,0.1842105263157894,0.0398009950248756,7.0,True,True,,True,0.15141077827644983,False
